AAM,RAM,rAM,dAM,rAR ,RDen,dDen ,ATm,mTm,RTm,dTm,MCp,dCp,AIE,dIE ,MEN,dEN ,rLP ,dLP ,mVEC,dVEC,AsVEC,fs,MpVEC,fp,mdVEC,RdVEC, H,S/R,PHSS,N,Class,Alloy,Dmax,Tg,Tx,Tl
0.402567132,0.45430759,0.329353724,0.313733495,0.487560764,0.396776004,0.304928588,0.421716632,0.259279221,0.476365352,0.427471406,0.349386642,0.229198317,0.483093681,0.378776043,0.514516129,0.456339783,0.296048291,0.279293138,0.38,0.465315167,0.625647059,0.304834345,0.6,0.20438821,0.2,0.8,0.525184155,0.469381071,0.733283128,0.5,1,(Cu0.5Zr0.425Ti0.075)98.8Sn0.6Si0.6,7,682,734,1141
0.400952082,0.374674767,0.376283455,0.313706424,0.487560764,0.396776004,0.307185992,0.423277055,0.509306173,0.330906223,0.419589577,0.269786461,0.232037625,0.48356512,0.379964969,0.485483871,0.456132201,0.338794275,0.278617708,0.38,0.465072211,0.625294118,0.304633745,0.6,0.203653413,0.2,0.8,0.522488838,0.464771877,0.732304108,0.4,1,(Cu0.5Zr0.425Ti0.075)99Si1,6,683,731,1141
0.404192705,0.396994903,0.439062508,0.311808846,0.594178659,0.324358517,0.300985981,0.420706636,0.259279221,0.476365352,0.432946288,0.349386642,0.223051614,0.482266416,0.377397432,0.514516129,0.456645566,0.296048291,0.279902898,0.38,0.465072211,0.625294118,0.304633745,0.6,0.203653413,0.2,0.8,0.529848515,0.464771877,0.736698138,0.4,1,(Cu0.5Zr0.425Ti0.075)99Sn1,6,683,703,1140
0.459937578,0.570190353,0.350152749,0.512480347,0.594178659,0.455817987,0.349341272,0.441820611,0.509306173,0.437012285,0.50405252,0.286597001,0.22493682,0.501785799,0.348928657,0.485483871,0.426645635,0.338794275,0.287432662,0.38,0.442119001,0.576941176,0.286391101,0.2,0.2,0.32,0.68,0.588510029,0.52121976,0.759234519,0.4,1,(Cu0.6Hf0.25Ti0.15)92Nb8,2.5,745,783,1198
0.459724754,0.570190353,0.350152749,0.516226977,0.594178659,0.455817987,0.350544634,0.437394282,0.509306173,0.437012285,0.501305375,0.286597001,0.225162048,0.503737231,0.347789989,0.485483871,0.428542437,0.338794275,0.287674255,0.38,0.440796196,0.579764706,0.286157025,0.2,0.2,0.32,0.68,0.584588211,0.511397814,0.758107928,0.4,1,(Cu0.6Hf0.25Ti0.15)94Nb6,4,745,785,1190
0.459511929,0.570190353,0.350152749,0.519940821,0.594178659,0.455817987,0.351721656,0.432967953,0.509306173,0.437012285,0.497867016,0.286597001,0.225382793,0.505688663,0.346541719,0.485483871,0.430401883,0.338794275,0.287899013,0.38,0.439408904,0.582588235,0.28592666,0.2,0.2,0.32,0.68,0.580552727,0.499429685,0.757146745,0.4,1,(Cu0.6Hf0.25Ti0.15)96Nb4,4,747,789,1188
0.459299105,0.570190353,0.350152749,0.523622983,0.594178659,0.455817987,0.352873093,0.428541624,0.509306173,0.437012285,0.493660225,0.286597001,0.225599166,0.507640095,0.345182059,0.485483871,0.432224996,0.338794275,0.28810759,0.38,0.437959202,0.585411765,0.28569992,0.2,0.2,0.32,0.68,0.576403578,0.484227609,0.756474924,0.4,1,(Cu0.6Hf0.25Ti0.15)98Nb2,4,746,792,1184
0.395742912,0.377871731,0.368319908,0.34242351,0.487560764,0.396776004,0.334100872,0.408323523,0.384892334,0.403286934,0.458483964,0.269786461,0.237161035,0.47484964,0.408542852,0.485483871,0.454979375,0.351845825,0.281760977,0.32,0.474004972,0.626176471,0.306309551,0.6,0.218287037,0.2,0.8,0.496252799,0.467333307,0.72061882,0.4,1,(Cu50Zr43Al7)98.5Si1.5,4,737,798,1243
0.394941866,0.377871731,0.368319908,0.344656412,0.487560764,0.396776004,0.336908181,0.408353767,0.384892334,0.403286934,0.457802714,0.269786461,0.240974625,0.475667246,0.409239686,0.485483871,0.454710243,0.351845825,0.28147586,0.32,0.47456535,0.627058824,0.306815588,0.6,0.220117221,0.2,0.8,0.492632718,0.471992827,0.717260275,0.4,1,(Cu50Zr43Al7)98Si2,3,740,800,1256
0.397345005,0.377871731,0.368319908,0.337873619,0.487560764,0.396776004,0.328343814,0.408263033,0.384892334,0.403286934,0.459841836,0.269786461,0.228007598,0.47321443,0.407093225,0.485483871,0.455500818,0.351845825,0.282331291,0.32,0.472873118,0.624411765,0.305304502,0.6,0.214652075,0.2,0.8,0.503627056,0.456204295,0.727382952,0.4,1,(Cu50Zr43Al7)99.5Si0.5,10,719,791,1214
0.396543959,0.377871731,0.368319908,0.340162972,0.487560764,0.396776004,0.331247071,0.408293278,0.384892334,0.403286934,0.459163667,0.269786461,0.232902185,0.474032035,0.407827453,0.485483871,0.455242904,0.351845825,0.282046119,0.32,0.473440884,0.625294118,0.305805861,0.6,0.216465342,0.2,0.8,0.499917578,0.462161317,0.723980229,0.4,1,(Cu50Zr43Al7)99Si1,12,720,797,1226
