Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pd,Pr,Sc,Si,Sm,Sn,Ta,Tb,Ti,Tm,W,Y,Yb,Zn,Zr,Dmax
0,0,0,0,0,0,0,0,0,0,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,7.41,0,0,0,0,0,41.99,7
0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.425,0,0,0,0,0,42.075,6
0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.425,0,0,0,0,0,42.075,6
0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,2.5
0,0,0,0,0,0,0,0,0,0,56.4,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,57.6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,4
0,6.895,0,0,0,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,42.355,4
0,6.86,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,42.14,3
0,6.965,0,0,0,0,0,0,0,0,49.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,42.785,10
