Alloy,Dmax
Ag27Cu73,0
Ag42Fe58,0
Ag48Cu52,0
Ag48Fe52,0
Ag50Fe50,0
Ag52Fe48,0
Ag55Fe45,0
Ag61Fe39,0
Ag63Fe37,0
Ag67Fe33,0
Ag70Fe30,0
Ag84Fe16,0
Al10La90,0
Al10Ti90,0
Al20Ti80,0
Al20Zr80,0
Al25Ti75,0
Al25Zr75,0
Al30Ti70,0
Al30Zr70,0
Al35Ti65,0
Al40Cu60T,0
Al40Ti60,0
Al45Ti55,0
Al50Cu50,0
Al55Ti45,0
Al60Cu40,0
Al60La40,0
Al60Ti40,0
Al65Ti35,0
Al70Cu30,0
Al70La30,0
Al70Ni30,0
Al70Ti30,0
Al75Cu25,0
Al80Cr20,0
Al80Cu20,0
Al80La20,0
Al80Ni20,0
Al80Ti20,0
Al81Cr19,0
Al82Sm18,0
Al83Cr17,0
Al84Cr16,0
Al85Gd15,0
Al86Co14,0
Al86Cr14,0
Al86Ni14,0
Al88Co12,0
Al88Cr12,0
Al88Fe12,0
Al88Ni12,0
Al90Co10,0
Al90Cr10,0
Al90Fe10,0
Al90Ni10,0
Al92.5Ca7.5,0
Al92Co8,0
Al92Cr8,0
Al92Fe8,0
Al92Mn8,0
Al92Ni8,0
Al94.1Ti5.9,0
Al94Ce6,0
Al94Co6,0
Al94Cr6,0
Al94Fe6,0
Al94Gd6,0
Al94Mn6,0
Al94Nd6,0
Al94Ni6,0
Al94Sm6,0
Al95Ce5,0
Al96Co4,0
Al96Cr4,0
Al96Fe4,0
Al96Mn4,0
Al96Nd4,0
Al96Ni4,0
Al97.1Ti2.9,0
Al98.9Ti1.1,0
Al98Co2,0
Al98Fe2,0
Al98Mn2,0
Al98Nd2,0
Al98Ni2,0
B10Mo90,0
B15Co85,0
B15Mo85,0
B16Ni84,0
B20Mo80,0
B20Ni80,0
B21Fe79,0
B22Ni78,0
B24Ni76,0
B25Mo75,0
B26Ni74,0
B30Mo70,0
B46Ni54,0
B48Ni52,0
B54Ni46,0
B5Ni95,0
Be10Ti90,0
Be10Zr90,0
Be2.5Zr97.5,0
Be20Ti80,0
Be20Zr80,0
Be30Ti70,0
Be35Ti65,0
Be42Ti58,0
Be43Ti57,0
Be45Ti55,0
Be50Ti50,0
Be7.5Zr92.5,0
C10Co90,0
C10Ni90,0
C15Co85,0
C15Ni85,0
C20Co80,0
C20Ni80,0
