RedRatio,dA,dB,dC,Fatigue
825,0.07,0.02,0.04,232
610,0.11,0,0.04,235
1270,0.07,0.02,0,235
1740,0.06,0,0,241
825,0.04,0.02,0,225
825,0.06,0.02,0.02,245
1270,0.08,0.01,0,255
1740,0.07,0,0,245
610,0.08,0,0.04,275
1270,0.04,0.03,0,239
1740,0.11,0,0,255
825,0.05,0.03,0,397
1270,0.07,0.02,0,419
1740,0.08,0,0,401
610,0.07,0,0.03,394
825,0.08,0,0,426
610,0.06,0.01,0.01,426
1270,0.08,0.02,0,454
1740,0.06,0,0,418
1270,0.13,0.01,0,416
825,0.07,0.04,0,395
1740,0.1,0,0,433
610,0.06,0.05,0.03,379
825,0.05,0.03,0,382
1270,0.07,0.02,0,385
1740,0.08,0,0,365
610,0.07,0,0.03,379
825,0.08,0,0,377
610,0.06,0.01,0.01,394
1270,0.08,0.02,0,425
1740,0.06,0,0,395
1270,0.13,0.01,0,393
825,0.07,0.04,0,375
1740,0.1,0,0,389
610,0.06,0.05,0.03,358
825,0.05,0.03,0,344
1270,0.07,0.02,0,369
1740,0.08,0,0,325
610,0.07,0,0.03,338
825,0.08,0,0,362
610,0.06,0.01,0.01,361
1270,0.08,0.02,0,385
1740,0.06,0,0,348
1270,0.13,0.01,0,368
825,0.07,0.04,0,341
1740,0.1,0,0,365
610,0.06,0.05,0.03,325
1740,0.07,0,0,513
1270,0.12,0.01,0,448
610,0.06,0,0.01,465
825,0.1,0.03,0.01,446
825,0.11,0.04,0,437
1740,0.08,0,0,502
610,0.04,0,0.03,465
1740,0.06,0,0,475
1270,0.13,0.01,0,504
610,0.09,0,0.04,486
1270,0.04,0.01,0,452
1740,0.07,0,0,459
1270,0.12,0.01,0,415
610,0.06,0,0.01,437
825,0.1,0.03,0.01,415
825,0.11,0.04,0,401
1740,0.08,0,0,463
610,0.04,0,0.03,442
1740,0.06,0,0,438
1270,0.13,0.01,0,468
610,0.09,0,0.04,452
1270,0.04,0.01,0,422
1740,0.07,0,0,413
1270,0.12,0.01,0,395
610,0.06,0,0.01,398
825,0.1,0.03,0.01,378
825,0.11,0.04,0,372
1740,0.08,0,0,415
610,0.04,0,0.03,396
1740,0.06,0,0,388
1270,0.13,0.01,0,415
610,0.09,0,0.04,398
1270,0.04,0.01,0,382
1740,0.07,0,0,523
1270,0.08,0.01,0,534
825,0.12,0.02,0,489
660,0.06,0,0,500
825,0.1,0,0,495
1740,0.08,0,0,522
1270,0.09,0,0,531
1270,0.1,0.01,0,533
610,0.06,0,0.04,492
1740,0.09,0,0,505
610,0.08,0,0.04,541
1740,0.07,0,0,468
1270,0.08,0.01,0,459
825,0.12,0.02,0,444
660,0.06,0,0,458
825,0.1,0,0,445
1740,0.08,0,0,464
1270,0.09,0,0,466
1270,0.1,0.01,0,486
610,0.06,0,0.04,461
1740,0.09,0,0,464
610,0.08,0,0.04,475
1740,0.07,0,0,419
1270,0.08,0.01,0,418
825,0.12,0.02,0,402
660,0.06,0,0,398
825,0.1,0,0,411
1740,0.08,0,0,428
1270,0.09,0,0,415
1270,0.1,0.01,0,425
610,0.06,0,0.04,412
1740,0.09,0,0,410
610,0.08,0,0.04,415
1740,0.03,0,0,582
820,0.01,0,0.01,524
1120,0.02,0,0.03,583
1740,0.03,0,0.01,569
820,0.01,0.01,0.01,536
1120,0.01,0,0.01,577
820,0.03,0,0.02,565
1120,0.02,0,0.01,562
1740,0.03,0,0,522
820,0.01,0,0.01,504
1120,0.02,0,0.03,516
1740,0.03,0,0.01,517
820,0.01,0.01,0.01,511
1120,0.01,0,0.01,518
820,0.03,0,0.02,524
1120,0.02,0,0.01,503
1740,0.03,0,0,483
820,0.01,0,0.01,457
1120,0.02,0,0.03,482
1740,0.03,0,0.01,470
820,0.01,0.01,0.01,459
1120,0.01,0,0.01,490
820,0.03,0,0.02,485
1120,0.02,0,0.01,483
820,0.08,0,0.01,587
1250,0,0,0.02,571
1120,0,0,0.01,578
530,0.02,0,0,526
500,0.08,0,0.01,535
740,0.02,0,0.01,572
530,0.01,0.01,0,562
1120,0.03,0,0.01,563
1740,0.05,0,0,583
640,0.03,0,0,585
820,0.1,0,0,592
500,0.05,0,0.02,573
1120,0.03,0,0.02,536
500,0.08,0,0,557
820,0.08,0,0.01,552
1250,0,0,0.02,519
1120,0,0,0.01,524
530,0.02,0,0,508
500,0.08,0,0.01,490
740,0.02,0,0.01,550
