THT,THQCr,Dt,QmT,Si,Mn,P,S,Ni,Cu,Mo,NT,CT,Cr,C,Fatigue
30,0,0,30,0.19,0.42,0.026,0.022,0.01,0.02,0,885,30,0.02,0.22,225
30,0,0,30,0.21,0.44,0.017,0.022,0.01,0.01,0,885,30,0.02,0.26,232
30,0,0,30,0.18,0.44,0.009,0.017,0.08,0.08,0,885,30,0.12,0.25,235
30,0,0,30,0.27,0.43,0.008,0.015,0.02,0.01,0,885,30,0.03,0.26,235
30,0,0,30,0.26,0.47,0.021,0.023,0.02,0.01,0,885,30,0.02,0.22,239
30,0,0,30,0.23,0.51,0.018,0.024,0.01,0.01,0,885,30,0.02,0.26,241
30,0,0,30,0.22,0.45,0.026,0.026,0.02,0.03,0,885,30,0.05,0.26,245
30,0,0,30,0.25,0.54,0.02,0.021,0.01,0.02,0,885,30,0.02,0.27,245
30,0,0,30,0.27,0.5,0.021,0.018,0.02,0.01,0,885,30,0.03,0.28,255
30,0,0,30,0.26,0.51,0.029,0.024,0.01,0.03,0,885,30,0.03,0.23,255
30,0,0,30,0.23,0.37,0.008,0.03,0.06,0.09,0,885,30,0.1,0.27,275
865,24,0,30,0.26,0.74,0.012,0.015,0.01,0.01,0,865,30,0.02,0.34,325
865,24,0,30,0.21,0.63,0.007,0.017,0.06,0.08,0,865,30,0.1,0.32,325
865,24,0,30,0.26,0.7,0.009,0.023,0.08,0.09,0,865,30,0.12,0.36,338
865,24,0,30,0.25,0.82,0.016,0.023,0.03,0.01,0,865,30,0.01,0.35,341
865,24,0,30,0.21,0.77,0.021,0.022,0.01,0.02,0,865,30,0.01,0.35,344
865,24,0,30,0.26,0.73,0.015,0.019,0.02,0.03,0,865,30,0.02,0.32,348
865,24,0,30,0.21,0.63,0.007,0.017,0.06,0.08,0,865,30,0.1,0.32,358
865,24,0,30,0.29,0.7,0.01,0.03,0.06,0.11,0,865,30,0.09,0.38,361
865,24,0,30,0.21,0.75,0.031,0.019,0.01,0.02,0,865,30,0.03,0.33,362
845,8,0,30,0.21,1.59,0.017,0.015,0.03,0.05,0,870,30,0.2,0.38,363
865,24,0,30,0.26,0.74,0.012,0.015,0.01,0.01,0,865,30,0.02,0.34,365
865,24,0,30,0.24,0.72,0.015,0.02,0.02,0.02,0,865,30,0.02,0.37,365
865,24,0,30,0.27,0.78,0.016,0.02,0.01,0.02,0,865,30,0.11,0.37,368
865,24,0,30,0.3,0.74,0.017,0.024,0.01,0.01,0,865,30,0.1,0.35,369
845,24,0,30,0.22,0.78,0.022,0.02,0.01,0.03,0,845,30,0.02,0.42,372
865,24,0,30,0.25,0.82,0.016,0.023,0.03,0.01,0,865,30,0.01,0.35,375
865,24,0,30,0.21,0.75,0.031,0.019,0.01,0.02,0,865,30,0.03,0.33,377
845,24,0,30,0.24,0.82,0.021,0.021,0.03,0.02,0,845,30,0.02,0.44,378
865,24,0,30,0.21,0.63,0.007,0.017,0.06,0.08,0,865,30,0.1,0.32,379
865,24,0,30,0.26,0.7,0.009,0.023,0.08,0.09,0,865,30,0.12,0.36,379
845,8,0,30,0.24,1.51,0.02,0.008,0.04,0.08,0,870,30,0.22,0.41,380
865,24,0,30,0.21,0.77,0.021,0.022,0.01,0.02,0,865,30,0.01,0.35,382
845,24,0,30,0.26,0.7,0.024,0.01,0.01,0.01,0,845,30,0.1,0.42,382
845,8,0,30,0.22,1.48,0.01,0.007,0.03,0.06,0,870,30,0.08,0.41,383
865,24,0,30,0.3,0.74,0.017,0.024,0.01,0.01,0,865,30,0.1,0.35,385
865,24,0,30,0.26,0.76,0.023,0.013,0.01,0.03,0,865,30,0.1,0.33,385
