pred alpha = 0.8013012087025866, real alpha = 0.9867942000126455
pred t1 = 0.9489143868465975, real t1 = 0.8162056665993673
pred t2 = 0.3366331071305283, real t2 = 0.9165005537098561
pred alpha = 0.6413322575093194, real alpha = 0.8955841405545315
pred t1 = 0.790115974902168, real t1 = 0.6457141575251811
pred t2 = 0.7203252431769519, real t2 = 0.7466961978589886
pred alpha = 0.7351285700953687, real alpha = 0.9454034721853759
pred t1 = 0.9652227996319607, real t1 = 0.6816071068039572
pred t2 = 0.7350473784488046, real t2 = 0.7737664574873877
pred alpha = 0.8179779156679045, real alpha = 0.9824923106228255
pred t1 = 0.9377159663906787, real t1 = 0.7444197680418153
pred t2 = 0.2588145660016831, real t2 = 0.8549772363725852
pred alpha = 0.45690746844335683, real alpha = 0.7913040330390031
pred t1 = 0.35845876966719675, real t1 = 0.596361352266864
pred t2 = 0.1727896488001272, real t2 = 0.6827119478282269
pred alpha = 0.6289762438259991, real alpha = 0.9399237594426835
pred t1 = 0.7013372389430519, real t1 = 0.47746595778091844
pred t2 = 0.8634399733862307, real t2 = 0.5941183708625568
pred alpha = 0.841007637116193, real alpha = 0.9938500262042362
pred t1 = 0.9552325760214393, real t1 = 0.5290620723691589
pred t2 = 0.5232941657137914, real t2 = 0.5891965054755752
pred alpha = 0.8430679539728722, real alpha = 0.9954684915701425
pred t1 = 0.9590985971897441, real t1 = 0.40343674989344286
pred t2 = 0.484510786514639, real t2 = 0.5049587793773841
pred alpha = 0.8547929394882845, real alpha = 0.9944503067607758
pred t1 = 0.9400607690939291, real t1 = 0.33389416066581423
pred t2 = 0.2493591900107459, real t2 = 0.372634428448382
