id,pic_num,formula,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,sType,sTemper,sHour,t0,deltaL,l1,l2,deltaT,alpha,t1,t2
1,1-f1,Mn3Cu0.85Ge0.15N1,3,0,0.85,0,0.15,0,0,0,0,0,1,0,0,0,800,60,400,-3378.72,-2209.29,-5588,25.54,-132.29,90.41,115.95
2,1-f1,Mn3Zn1N1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,800,60,400,-4992.5,20.59,-4971.91,10.27,-486.06,165.51,175.78
3,1-f1,Mn3Ni1N1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,800,60,400,-917.52,-986.69,-1904.21,10.21,-89.88,245.94,256.15
4,1-f2,Mn3Zn1N1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,800,60,500,-4940.22,-2103.53,-7043.75,9.69,-509.98,168.51,178.2
5,1-f2,Mn3Zn0.75Sn0.25N1,3,0,0,0,0,0,0,0,0.25,0.75,1,0,0,0,800,60,500,-2359.97,-1825.75,-4185.72,41.67,-56.64,290.42,332.08
6,1-f2,Mn3Zn0.65Sn0.35N1,3,0,0,0,0,0,0,0,0.35,0.65,1,0,0,0,800,60,500,-2274.84,-1254.5,-3529.34,21.02,-108.22,340.8,361.82
7,1-f2,Mn3Zn0.55Sn0.45N1,3,0,0,0,0,0,0,0,0.45,0.55,1,0,0,0,800,60,500,-1569.41,-992.89,-2562.3,36.64,-42.84,362.9,399.54
8,1-f2,Mn3Zn0.5Sn0.5N1,3,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,800,60,500,-919.03,-1050.22,-1969.25,40.07,-22.93,375.73,415.81
9,1-f2,Mn3Zn0.3Sn0.7N1,3,0,0,0,0,0,0,0,0.7,0.3,1,0,0,0,800,60,500,-367.8,-507.42,-875.22,28.13,-13.08,434.78,462.91
10,1-f3,Mn3Zn0.55Sn0.45N0.85C0.15,3,0,0,0,0,0,0,0,0.45,0.55,0.85,0.15,0,0,800,60,400,-1511.01,-419.32,-1930.32,74.4,-20.31,214.41,288.81
11,1-f3,Mn3Zn0.4Sn0.6N0.85C0.15,3,0,0,0,0,0,0,0,0.6,0.4,0.85,0.15,0,0,800,60,400,-883.86,-199.27,-1083.13,66.2,-13.35,270.03,336.23
12,1-f3,Mn3Zn0.35Sn0.65N0.85C0.15,3,0,0,0,0,0,0,0,0.65,0.35,0.85,0.15,0,0,800,60,400,-803.18,9.78,-793.4,67.45,-11.91,284.35,351.8
13,1-f3,Mn3Zn0.6Sn0.4N0.85C0.1B0.05,3,0,0,0,0,0,0,0,0.4,0.6,0.85,0.1,0.05,0,800,60,400,-1833.74,-393.64,-2227.38,52.08,-35.21,243.27,295.34
14,1-f3,Mn3Zn0.55Sn0.45N0.85C0.1B0.05,3,0,0,0,0,0,0,0,0.45,0.55,0.85,0.1,0.05,0,800,60,400,-1507.34,-173.59,-1680.93,55,-27.41,269.81,324.81
15,1-f3,Mn3Zn0.5Sn0.5N0.85C0.1B0.05,3,0,0,0,0,0,0,0,0.5,0.5,0.85,0.1,0.05,0,800,60,400,-1155.25,-1.23,-1156.48,60.43,-19.12,279.92,340.36
16,2-f1,Mn3.1Zn0.5Sn0.4N1,3.1,0,0,0,0,0,0,0,0.4,0.5,1,0,0,1,600,0.17,500,-1418.97,-1492.23,-2911.2,40.22,-35.28,335.75,375.98
17,2-f1,Mn3.2Zn0.6Sn0.2N1,3.2,0,0,0,0,0,0,0,0.2,0.6,1,0,0,1,600,0.17,500,-1668.39,-2082.9,-3751.3,57.63,-28.95,273.88,331.51
18,2-f1,Mn3.27Zn0.45Sn0.28N1,3.27,0,0,0,0,0,0,0,0.28,0.45,1,0,0,1,600,0.17,500,-1119.17,-2746.11,-3865.29,60.34,-18.55,265.36,325.7
19,2-f1,Mn3Cu0.5Sn0.5N1,3,0,0.5,0,0,0,0,0,0.5,0,1,0,0,1,600,0.17,500,-694.3,-2849.74,-3544.04,30.63,-22.67,305.59,336.22
20,3-f2,Mn3Cu0.9Ge0.1N1,3,0,0.9,0,0.1,0,0,0,0,0,1,0,0,0,,,400,-427.45,-5046.05,-5473.5,19.46,-21.96,84.67,104.14
21,3-f2,Mn3Cu0.7Ge0.3N1,3,0,0.7,0,0.3,0,0,0,0,0,1,0,0,0,,,400,-2481.32,-1412.68,-3894.01,59.37,-41.8,150.37,209.73
22,3-f2,Mn3Cu0.6Ge0.4N1,3,0,0.6,0,0.4,0,0,0,0,0,1,0,0,0,,,400,-1376.19,-646.39,-2022.59,64.82,-21.23,228.12,292.94
23,3-f2,Mn3Cu0.53Ge0.47N1,3,0,0.53,0,0.47,0,0,0,0,0,1,0,0,0,,,400,-820.97,-40.92,-861.89,75,-10.95,266.99,341.99
24,3-f2,Mn3Cu0.5Ge0.5N1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,,,400,-656.01,170.08,-485.93,84.95,-7.72,280.1,365.05
25,3-f2,Mn3Cu0.45Ge0.55N1,3,0,0.45,0,0.55,0,0,0,0,0,1,0,0,0,,,400,-338.84,281.49,-57.34,65.69,-5.16,319.22,384.92
26,3-f3,Mn3Ga0.7Ge0.3N0.88C0.12,3,0,0,0.7,0.3,0,0,0,0,0,0.88,0.12,0,0,,,400,-1427.3,172.18,-1255.12,122.42,-11.66,196.97,319.39
27,3-f3,Mn3.1Ga0.5Ge0.4N1,3.1,0,0,0.5,0.4,0,0,0,0,0,1,0,0,0,,,400,-174.22,106.76,-67.45,45.15,-3.86,343.64,388.79
28,4-f1,Mn3Cu0.95Sn0.05N1,3,0,0.95,0,0,0,0,0,0.05,0,1,0,0,0,800,60,500,-178.88,-7155.28,-7334.16,6.75,-26.51,105.04,111.79
29,4-f1,Mn3Cu0.85Sn0.15N1,3,0,0.85,0,0,0,0,0,0.15,0,1,0,0,0,800,60,500,-3498.14,-4293.17,-7791.3,30.91,-113.16,69.4,100.32
30,4-f1,Mn3Cu0.7Sn0.3N1,3,0,0.7,0,0,0,0,0,0.3,0,1,0,0,0,800,60,500,-1977.64,-4263.35,-6240.99,38.08,-51.93,153.01,191.09
31,4-f1,Mn3Cu0.6Sn0.4N1,3,0,0.6,0,0,0,0,0,0.4,0,1,0,0,0,800,60,500,-1460.87,-3438.51,-4899.38,31.22,-46.8,240.02,271.24
32,4-f1,Mn3Cu0.5Sn0.5N1,3,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,800,60,500,-645.96,-2325.47,-2971.43,36.68,-17.61,295.67,332.35
33,4-f1,Mn3Cu0.3Sn0.7N1,3,0,0.3,0,0,0,0,0,0.7,0,1,0,0,0,800,60,500,0,-606.22,-606.22,1,0,464.27,465.27
34,4-f2,Mn3Cu0.8Ga0.2N1,3,0,0.8,0.2,0,0,0,0,0,0,1,0,0,0,800,60,400,0,-5939.85,-5939.85,1,0,65.73,66.73
35,4-f2,Mn3Cu0.7Ga0.3N1,3,0,0.7,0.3,0,0,0,0,0,0,1,0,0,0,800,60,400,-2576.44,-3172.93,-5749.37,45.96,-56.05,26.31,72.28
36,4-f2,Mn3Cu0.5Ga0.5N1,3,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,800,60,400,-3358.4,-1258.15,-4616.54,79.71,-42.13,75.74,155.46
37,4-f2,Mn3Cu0.3Ga0.7N1,3,0,0.3,0.7,0,0,0,0,0,0,1,0,0,0,800,60,400,-3368.42,35.09,-3333.33,44.27,-76.09,189.63,233.9
38,4-f2,Mn3Ga1N1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,800,60,400,-4441.1,1919.8,-2521.3,20.98,-211.72,266.19,287.16
39,4-f3,Mn3Sn0.6Zn0.4N0.85C0.15,3,0,0,0,0,0,0,0,0.6,0.4,0.85,0.15,0,0,800,60,400,-892.55,-329.22,-1221.77,65.66,-13.59,270.52,336.19
40,4-f3,Mn3Sn0.6Zn0.4N1,3,0,0,0,0,0,0,0,0.6,0.4,1,0,0,0,800,60,400,-794.56,-2.72,-797.28,29.82,-26.64,410.08,439.9
41,5-f2,Mn3Cu0.6Ge0.4N1,3,0,0.6,0,0.4,0,0,0,0,0,1,0,0,0,850,48,300,-984.49,964.56,-19.93,49.93,-19.72,244.97,294.9
42,5-f2,Mn3Cu0.6Si0.05Ge0.35N1,3,0,0.6,0,0.35,0,0,0.05,0,0,1,0,0,0,850,48,300,-1569.6,1072.96,-496.65,59.87,-26.22,210.34,270.2
43,5-f2,Mn3Cu0.6Si0.1Ge0.3N1,3,0,0.6,0,0.3,0,0,0.1,0,0,1,0,0,0,850,48,300,-1886.73,906.94,-979.79,68.19,-27.67,170.07,238.26
44,5-f2,Mn3Cu0.6Si0.15Ge0.25N1,3,0,0.6,0,0.25,0,0,0.15,0,0,1,0,0,0,850,48,300,-1158.5,-157.11,-1315.61,100.13,-11.57,90.07,190.2
45,5-f2,Mn3Cu0.6Si0.2Ge0.2N1,3,0,0.6,0,0.2,0,0,0.2,0,0,1,0,0,0,850,48,300,-75.49,-2271.32,-2346.81,20.13,-3.75,79.87,100
46,5-f2,Mn3Cu0.7Ge0.3N1,3,0,0.7,0,0.3,0,0,0,0,0,1,0,0,0,850,48,300,-2106.98,686.13,-1420.85,47.17,-44.67,173.59,220.76
47,5-f2,Mn3Cu0.8Ge0.2N1,3,0,0.8,0,0.2,0,0,0,0,0,1,0,0,0,850,48,300,-2712.6,283.59,-2429.01,50.04,-54.21,115.19,165.23
48,6-f,Mn2.8Co0.2Cu0.6Ge0.25Si0.15N1,2.8,0.2,0.6,0,0.25,0,0,0.15,0,0,1,0,0,0,850,24,300,-1561.19,217.05,-1344.14,54.99,-28.39,144.97,199.95
49,6-f,Mn2.6Co0.4Cu0.6Ge0.25Si0.15N1,2.6,0.4,0.6,0,0.25,0,0,0.15,0,0,1,0,0,0,850,24,300,-1244.18,-280.61,-1524.8,50.53,-24.62,134.4,184.93
50,6-f,Mn2.4Co0.6Cu0.6Ge0.25Si0.15N1,2.4,0.6,0.6,0,0.25,0,0,0.15,0,0,1,0,0,0,850,24,300,-606.05,-795.16,-1401.21,39.82,-15.22,139.73,179.55
51,6-f,Mn2.2Co0.8Cu0.6Ge0.25Si0.15N1,2.2,0.8,0.6,0,0.25,0,0,0.15,0,0,1,0,0,0,850,24,300,-82.99,-1367.31,-1450.3,24.89,-3.33,144.15,169.04
52,7-f1,Mn3.25Sn0.25Zn0.5N1,3.25,0,0,0,0,0,0,0,0.25,0.5,1,0,0,1,,,500,-1378.99,-2133.21,-3512.2,34.71,-39.73,305.55,340.25
53,7-f1,Mn3.1Sn0.4Zn0.5N1,3.1,0,0,0,0,0,0,0,0.4,0.5,1,0,0,1,,,500,-666.04,-1889.31,-2555.35,40.48,-16.45,334.83,375.31
54,7-f1,Mn3Ga0.6Sn0.4N1,3,0,0,0.6,0,0,0,0,0.4,0,1,0,0,1,,,500,-1444.65,-360.23,-1804.88,55.81,-25.89,367.72,423.52
55,7-f1,Mn3Cu0.5Sn0.5N1,3,0,0.5,0,0,0,0,0,0.5,0,1,0,0,1,,,500,-731.71,-2827.39,-3559.1,38.53,-18.99,299.78,338.31
56,8-f1,Mn3.1Ga0.9N0.8,3.1,0,0,0.9,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-3111.11,2977.5,-133.61,23.57,-132.02,333.99,357.55
57,8-f1,Mn3.15Ga0.85N0.8,3.15,0,0,0.85,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-2974.13,2986.5,12.37,37.16,-80.04,308.46,345.62
58,8-f1,Mn3.2Ga0.8N0.8,3.2,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,750,72,365,-2285.71,2154.11,-131.61,44.79,-51.04,294.15,338.94
