1,2,3,4,5,6
Ag,Al,Be,Co,[ 8.34434361 14.34617462 42.52671835 34.78276342],11.62172222
Ag,Al,Be,Cu,[ 8.30853882 21.09062677 38.95973314 31.64110128],15.49925926
Ag,Al,Be,Gd,[24.65941325  8.20213544 44.1097354  23.02871591],11.4302
Ag,Al,Be,Hf,[ 8.81993768 29.14995605 55.26654819  6.76355808],10.96627778
Ag,Al,Be,Mg,[ 8.51256187  8.47528739 43.313457   39.69869374],11.34833333
Ag,Al,Be,Ni,[15.72681907 23.62437192 50.80512809  9.84368092],11.52868148
Ag,Al,Be,P,[13.31775264  5.50425566 38.2932112  42.88478051],22.04133333
Ag,Al,Be,Pd,[ 8.45252841  8.70513167 33.31205351 49.5302864 ],14.38951481
Ag,Al,Be,Sc,[ 8.92766011 23.90610357 42.98860371 24.17763261],13.92814815
Ag,Al,Be,Y,[15.26489314  7.91550848 42.58343702 34.23616137],13.31622222
Ag,Al,Be,Zr,[17.80609786  8.82573791 24.94377874 48.4243855 ],20.52611111
Ag,Al,Co,Cu,[23.48189513  8.49771917 36.04652503 31.97386067],9.69722222
Ag,Al,Co,Gd,[19.86078424  8.56643032 40.33617466 31.23661077],6.30944444
